hk_district,district,restaurant,cuisine,veg_type,address,latitude,longitude,openrice_url,phone,remarks
九龍,尖沙咀,同德素食,"中菜, 粵菜",蛋奶素,尖沙咀寶勒巷10號1樓,"22.29868494906711, 114.17445008569855",,https://www.openrice.com/zh/hongkong/r-%E5%90%8C%E5%BE%B7%E7%B4%A0%E9%A3%9F-%E5%B0%96%E6%B2%99%E5%92%80-%E7%B2%B5%E8%8F%9C-%E5%BB%A3%E6%9D%B1-%E7%B4%A0%E9%A3%9F-r528136,28020882,
九龍,尖沙咀,Kailash Parbat,印度菜,蛋奶素,尖沙咀寶勒巷3號萬事昌廣場3樓302室,"22.29841966737484, 114.1742863656605",,https://www.openrice.com/zh/hongkong/r-kailash-parbat-%E5%B0%96%E6%B2%99%E5%92%80-%E5%8D%B0%E5%BA%A6%E8%8F%9C-%E7%B4%A0%E9%A3%9F-r571224,34285545,
九龍,尖沙咀,Moono,多國菜,純素,尖沙咀梳士巴利道18號Victoria Dockside K11 MuseaB2樓B201-C02號舖,"22.294367997625148, 114.17458086824381",,https://www.openrice.com/zh/hongkong/r-moono-%E5%B0%96%E6%B2%99%E5%92%80-%E5%A4%9A%E5%9C%8B%E8%8F%9C-%E7%B4%A0%E9%A3%9F-r713782,46242630,
九龍,尖沙咀,一森素食,港式,純素,尖沙咀北京道65-69號環球商業大廈2樓205-06室,"22.29622133006256, 114.17161456612732",,https://www.openrice.com/zh/hongkong/r-%E4%B8%80%E6%A3%AE%E7%B4%A0%E9%A3%9F-%E5%B0%96%E6%B2%99%E5%92%80-%E6%B8%AF%E5%BC%8F-%E7%B4%A0%E9%A3%9F-r789099,93224249,
九龍,尖沙咀,Peek-A-Poke,西式,蛋奶素,尖沙咀彌敦道36-44號重慶大廈地庫 Heath S01B號舖,"22.296789767153186, 114.17296416807812",,https://www.openrice.com/zh/hongkong/r-peek-a-poke-%E5%B0%96%E6%B2%99%E5%92%80-%E8%A5%BF%E5%BC%8F-%E6%B2%99%E5%BE%8B-r770734,63773073,
九龍,尖沙咀,Clean Coffee,"西式, Cafe",蛋奶素,尖沙咀彌敦道36-44號Heath地庫12號舖,"22.296464029845154, 114.17243223182228",,https://www.openrice.com/zh/hongkong/r-clean-coffee-%E5%B0%96%E6%B2%99%E5%92%80-%E8%A5%BF%E5%BC%8F-r795969,,
九龍,佐敦,普光齋,"中菜, 粵菜",蛋奶素,佐敦佐敦道13號華豐大廈地舖,"22.305882425946894, 114.17198072407635",,https://www.openrice.com/zh/hongkong/r-%E6%99%AE%E5%85%89%E9%BD%8B-%E4%BD%90%E6%95%A6-%E7%B2%B5%E8%8F%9C-%E5%BB%A3%E6%9D%B1-%E7%B4%A0%E9%A3%9F-r1866,23842833,
九龍,佐敦,蓮花健康素食,"中菜, 粵菜",蛋奶素,佐敦寧波街31號地舖,"22.306631796639927, 114.17112052081194",,https://www.openrice.com/zh/hongkong/r-%E8%93%AE%E8%8A%B1%E5%81%A5%E5%BA%B7%E7%B4%A0%E9%A3%9F-%E4%BD%90%E6%95%A6-%E7%B2%B5%E8%8F%9C-%E5%BB%A3%E6%9D%B1-%E7%B4%A0%E9%A3%9F-r544535,23287686,
九龍,佐敦,維亞軒素食 ,港式,蛋奶素,佐敦德興街13號怡興閣地舖,"22.30525395295037, 114.17224412037503",,https://www.openrice.com/zh/hongkong/r-via-vegetarian-restaurant-jordan-hong-kong-style-vegetarian-r747297,23828022,
九龍,佐敦,大中華素食,港式,蛋奶素,佐敦白加士街131-135號地下,"22.307277523863533, 114.17097962407624",,https://www.openrice.com/zh/hongkong/r-%E5%A4%A7%E4%B8%AD%E8%8F%AF%E7%B4%A0%E9%A3%9F-%E4%BD%90%E6%95%A6-%E6%B8%AF%E5%BC%8F-%E7%B4%A0%E9%A3%9F-r25363,27712393,
